NAME,STAR,PER,MASS,SEP,R,PLANETDISCMETH,MSTAR,RSTAR,TEFF,DATE
KOI 4891.01,KOI 4891,4.73088671,0.010065691368859842,,0.12489984893457748,,1.001,0.911,5941,
KOI 4892.01,KOI 4892,21.374862,0.004272681339965264,,0.09724345381334962,,0.846,1.052,5984,
KOI 4893.01,KOI 4893,6.58753753,0.011620833825601714,,0.135605550271827,,1.101,0.993,6014,
KOI 3279.01,KOI 3279,30.8277926,0.023939313942413557,,0.24623113075673847,,1.047,0.96,5982,
KOI 3280.01,KOI 3280,47.1611696,0.02363321946347999,,0.24444684720053025,,1.075,0.965,5936,
KOI 3282.01,KOI 3282,49.276764,0.014872774729437648,,0.17575193028651262,,0.548,0.541,3894,
KOI 4750.01,KOI 4750,36.7216351,0.017989941138038083,,0.20519260896394872,,0.925,0.841,5679,
KOI 3203.01,KOI 3203,96.8172233,0.016192339464120374,,0.1891340569580745,,1.151,1.523,7095,
KOI 4822.01,KOI 4822,3.51413723,0.0008470456639720239,,0.06155778268918462,,1.058,0.989,6201,
KOI 4823.01,KOI 4823,4.9650764,0.009364181658773018,,0.12222342360026513,,0.982,2.011,5339,
KOI 4826.01,KOI 4826,1.141145902,0.0025222038187798844,,0.08386132714178773,,1.06,1.03,6191,
KOI 4895.01,KOI 4895,12.460222,0.007251222153933125,,0.11330200581922387,,0.914,0.958,5861,
KOI 4896.01,KOI 4896,19.5960013,0.008055380418801888,,0.11687057293164037,,0.996,1.024,6120,
KOI 4898.01,KOI 4898,409.87844,0.023331862278161725,,0.242662563644322,,1.149,1.064,6167,
KOI 3286.01,KOI 3286,18.1373829,0.004999082786450556,,0.10170416270387023,,0.589,0.602,4257,
KOI 3287.01,KOI 3287,51.1110243,0.013174204419352596,,0.15612481116822186,,0.97,0.881,5968,
KOI 3288.01,KOI 3288,47.9872764,0.02674099192141704,,0.2613975409845086,,0.899,0.981,5641,
KOI 4754.01,KOI 4754,7.08748889,0.008694217181713183,,0.11954699826595275,,1.008,0.925,6060,
KOI 4755.01,KOI 4755,3.74317909,0.006144573547926738,,0.10794915515059911,,0.847,0.779,5431,
KOI 4756.01,KOI 4756,5.4169541,0.004136256415679355,,0.0963513120352455,,1.08,1.143,6338,
KOI 4758.01,KOI 4758,37.1084135,0.01406958651572169,,0.16683051250547137,,0.977,0.86,5591,
KOI 4827.01,KOI 4827,31.1920182,0.013318756268476914,,0.15790909472443013,,0.789,0.777,5675,
KOI 4829.01,KOI 4829,22.884425,0.02069360640969991,,0.22571186986034358,,1.161,1.175,6422,
KOI 4900.01,KOI 4900,6.67169205,0.007849274103709034,,0.11597843115353625,,1.031,1.021,6086,
KOI 4902.01,KOI 4902,409.38645,0.013391699751933203,,0.15880123650253425,,0.766,0.799,4955,
